"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"Benjamin F. Edwards & Co.","05/24/2014","06/27/2014"
"Record Assist LLC","05/28/2014","06/26/2014"
"Sterne, Agee & Leach, Inc.","05/29/2014","06/26/2014"
"Butler University","11/01/2013, 05/28/2014","06/26/2014"
"Riverside County Regional Medical Center","06/17/2014","06/24/2014"
"Rady Children's Hospital-San Diego","06/06/2014, 11/30/2009, 11/30/2010, 11/30/2011","06/20/2014"
"University of California, Washington Center (UCDC)","06/07/2014","06/20/2014"
"The Metropolitan Companies, Inc.","04/21/2014","06/18/2014"
"American Express Travel Related Services Company, Inc and/or its Affiliates (""AXP"")","03/08/2013","06/17/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","03/08/2013","06/16/2014"
"SafetyFirst","09/27/2013","06/13/2014"
"Riverside Community College District","05/30/2014","06/13/2014"
"Fidelity National Financial, Inc.","07/01/2013, 11/01/2013","06/13/2014"
"Santa Rosa Memorial Hospital","06/02/2014","06/12/2014"
"The Union Labor Life Insurance Company","02/17/2014","06/12/2014"
"Stanford Federal Credit Union","04/30/2014","06/11/2014"
"AT&T Mobility, LLC","04/09/2014, 04/21/2014","06/10/2014"
"College of the Desert","06/05/2014","06/09/2014"
"National Credit Adjusters, LLC","","06/04/2014"
"Craftsman Book Company","03/09/2014","06/03/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","06/13/2012","06/02/2014"
"American Express Travel Related Services Company, Inc. and /or its Affiliates (“AXP”)","","05/29/2014"
"SHARPER FUTURE","03/29/2014","05/28/2014"
"San Diego State University","","05/22/2014"
"Paytime Harrisburg Inc. d/b/a Paytime, Inc.","04/07/2014","05/21/2014"
"Affinity Gaming","12/07/2013, 04/28/2014","05/19/2014"
"Lowe's Companies, Inc.","07/01/2013, 04/02/2014","05/19/2014"
"University of California Irvine","02/14/2014, 03/13/2014, 03/22/2014, 03/27/2014","05/14/2014"
"Gingerbread Shed Corporation","11/25/2013, 02/17/2014","05/07/2014"
"Green's Accounting","04/06/2014","05/07/2014"
"Department of Child Support Services","04/07/2014","05/06/2014"
"ground(ctrl)","03/08/2014","05/05/2014"
"JCM Partners, LLC","","05/01/2014"
"Boomerang Tags","07/04/2013","04/30/2014"
"Snelling Staffing, LLC","01/20/2014","04/22/2014"
"NCO Financial Systems, Inc.","03/29/2014","04/22/2014"
"LaCie USA","03/27/2013","04/11/2014"
"Veterans of Foreign Wars of the United States","02/12/2014","04/11/2014"
"Deltek Inc.","07/13/2013, 11/02/2013","04/10/2014"
"StumbleUpon, Inc.","","04/08/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","04/07/2014"
"Cole Taylor Bank","02/07/2014","04/03/2014"
"Sutherland Healthcare Solutions","02/05/2014","04/03/2014"
"Kaiser Permanente Northern CA Department of Research","10/18/2011, 02/12/2014","04/02/2014"
"California Department of Corrections and Rehabilitation","03/03/2014","04/02/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","04/01/2014"
"ITHAKA","","03/31/2014"
"Palomar Health","02/22/2014","03/28/2014"
"Sorenson Communications","02/20/2014, 03/02/2014","03/27/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","03/25/2014"
"Castle Creek Properties, Inc., dba Rosenthal the Malibu Estates","","03/21/2014"
"Marian Regional Medical Center","03/02/2014, 03/03/2014, 03/04/2014, 03/05/2014, 03/06/2014","03/20/2014"
"Discover Financial Services","","03/20/2014"
"Arcadia Health Services, Inc. d/b/a Arcadia Home Care & Staffing","","03/17/2014"
"Silversage Advisors","02/20/2014","03/13/2014"
"UCSF Family Medicine Center at Lakeshore","01/11/2014","03/12/2014"
"OANDA Corporation ","03/03/2014","03/05/2014"
"Eureka Internal Medicine","09/25/2013, 10/09/2013","03/04/2014"
"St. Joseph Health","02/18/2014","03/03/2014"
"AppleCare Insurance Services, Inc.","01/01/2014","02/28/2014"
"80sTees","06/03/2012","02/28/2014"
"The J.M. Smucker Company","12/23/2012","02/27/2014"
"L.A. Care Health Plan","01/22/2014, 01/23/2014, 01/24/2014","02/27/2014"
"The Variable Annuity Life Insurance Company","10/25/2007","02/26/2014"
"Discover Financial Services","01/01/2014","02/21/2014"
"Department of Resources Recycling and Recovery","01/24/2014","02/20/2014"
"Blue Shield of California","12/20/2013","02/18/2014"
"The Home Depot, Inc.","","02/10/2014"
"The Freeman Company","01/20/2014","02/10/2014"
"Easter Seal Society of Superior California","12/10/2013","02/07/2014"
"Bank of the West","","02/05/2014"
"K. Min Yi, M.D. General Surgery","05/28/2013","02/05/2014"
"St. Joseph Health System","12/16/2013","02/05/2014"
"University of California Davis Medical Center","12/13/2013","02/03/2014"
"Bring it To Me, LLC","01/13/2014","01/29/2014"
"Michaels Stores, Inc.","","01/27/2014"
"Neiman Marcus Group","","01/25/2014"
"The Coca-Cola Company","","01/24/2014"
"W.J. Bradley Mortgage Capital, LLC","","01/23/2014"
"Easton-Bell Sports, Inc.","12/01/2013","01/17/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","11/01/2012","01/16/2014"
"Update Legal ","","01/13/2014"
"Straight Dope LLC","12/15/2013","01/09/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","01/07/2014"
"East West Bank","11/27/2013, 12/15/2013","01/02/2014"
"‘wichcraft Operating, LLC","","12/30/2013"
"T-Mobile US","","12/30/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","12/29/2013"
"StakerLaw Tax and Estate Planning Law Corporation","12/20/2013","12/27/2013"
"Robert Meaglia, DDS","12/16/2013, 12/16/2013","12/22/2013"
"Affinity Gaming LLC","03/14/2013","12/20/2013"
"W.J. Bradley Mortgage Capital, LLC","","12/20/2013"
"Target Corporation","11/27/2013, 12/15/2013","12/20/2013"
"TechMedia Network","10/04/2013","12/20/2013"
"Discover Financial Services","","12/20/2013"
"Discover Financial Services","","12/20/2013"
"CITGO Petroleum Corporation","10/09/2013","12/18/2013"
"Massachusetts Mutual Life Insurance Company","12/03/2013","12/16/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","12/16/2013"
"EDD","09/30/2013","12/13/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","12/13/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","05/28/2013","12/12/2013"
"Cottage Health System","","12/11/2013"
"Stephen T. Imrie, M.D.","09/23/2013","12/10/2013"
"Los Angeles Gay and Lesbian Community Services Center","09/17/2013, 11/08/2013","12/10/2013"
"DecisionDesk, Inc.","10/28/2013","12/10/2013"
"Horizon Healthcare Services, Inc.,dba Horizon Blue Cross Blue Shield of New Jersey, and its affiliates","11/01/2013","12/06/2013"
"JPMorgan Chase Bank, N.A.","","12/05/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","02/10/2013","12/04/2013"
"B&G Foods, Inc.","11/16/2013","12/03/2013"
"Maricopa County Community Colleges District","","12/02/2013"
"Board of Barbering and Cosmetology","08/23/2013","12/02/2013"
"Marsh & McLennan Companies, Inc. and our affiliates","06/13/2013","11/26/2013"
"Kaiser Foundation Hospital Orange County, Anaheim Medical Center","09/25/2013","11/25/2013"
"Sebastopol Sea Serpents","10/13/2013","11/25/2013"
"Employment Development Dept.","09/14/2013, 10/09/2013","11/22/2013"
"University of California San Francisco","09/25/2013","11/21/2013"
"Flamingo Resort and Spa","","11/21/2013"
"Kroll Background America, Inc.","","11/21/2013"
"Anthem Blue Cross","10/23/2013, 10/24/2013","11/20/2013"
"Kathleen E. Whisman MD","","11/20/2013"
"Discover Financial Services","","11/18/2013"
"Lincoln Credit Center","10/20/2013","11/15/2013"
"USI Insurance Services LLC","10/02/2013","11/13/2013"
"Datapak Services Corporation ","03/05/2013","11/08/2013"
"DaVita, a division of DaVita HealthCare Partners Inc.","09/06/2013","11/05/2013"
"Standard Insurance Company","","11/04/2013"
"Harbor Freight Tools USA, Inc.","05/06/2013, 06/30/2013","10/31/2013"
"Dun & Bradstreet","04/02/2013","10/28/2013"
"Yusen Logistics (Americas) Inc.","09/24/2013","10/25/2013"
"International SOS Assistance, Inc","08/24/2013","10/25/2013"
"The Fisherman's Restaurant","05/03/2013","10/23/2013"
"AHMC Healthcare, Inc and affiliated hospitals","10/12/2013","10/21/2013"
"Ouidad","06/30/2013","10/18/2013"
"Discover Financial Services","","10/17/2013"
"Monterey County Department of Social Services","03/17/2013","10/11/2013"
"Legal Aid Society of San Mateo County","08/12/2013","10/11/2013"
"KEARNY MESA INFINITI","","10/10/2013"
"Massachusetts Mutual Life Insurance Company","09/13/2013","10/04/2013"
"Adobe Systems Incorporated","09/11/2013, 09/12/2013, 09/13/2013, 09/14/2013, 09/15/2013, 09/16/2013, 09/17/2013","10/03/2013"
"UCSF Medical Center","09/09/2013","10/02/2013"
"R.T. Jones Capital Management Equities","07/22/2013","10/01/2013"
"Petrochem Insulation, Inc.","07/18/2013","10/01/2013"
"Santa Clara Valley Medical Center","09/14/2013, 09/15/2013","09/27/2013"
"California Department of Public Health","08/20/2013","09/26/2013"
"ICG America","01/02/2013","09/24/2013"
"Unique Vintage","09/18/2013","09/24/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","09/23/2013"
"Windhaven Investment Management, Inc.","","09/23/2013"
"BEL USA LLC","03/01/2013, 07/15/2013","09/20/2013"
"PLS Financial Services, Inc.","","09/18/2013"
"Buckeye Check Cashing of California LLC","","09/17/2013"
"Kaiser Foundation Health Plan, Inc.","05/16/2013","09/11/2013"
"FSV Payment Systems","07/22/2013, 07/28/2013","09/11/2013"
"Outdoor Network LLC","12/14/2012, 07/24/2013","09/09/2013"
"Edgewood Partners Insurance Center","07/17/2013","09/06/2013"
"Hankyu Chung, M.D.","06/16/2013","09/06/2013"
"Inter-Continental Hotels Corporation","07/04/2013","09/02/2013"
"Midwest Supplies, LLC","06/13/2013","08/27/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","01/17/2012","08/27/2013"
"Advocate Medical Group","07/15/2013","08/23/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","01/15/2013","08/23/2013"
"Shore Mortgage (a division of United Shore Financial Services, LLC)","06/02/2013","08/22/2013"
"San Francisco State University","03/25/2013","08/20/2013"
"California Department of Corrections and Rehabilitation ","07/26/2013","08/20/2013"
"Exelixis","07/30/2013","08/16/2013"
"Income and Capital Growth Strategies Inc.","07/12/2013, 07/13/2013, 07/14/2013","08/12/2013"
"Cogent Healthcare, Inc.","05/05/2013, 06/24/2013","08/08/2013"
"Smartphone Experts","","08/07/2013"
"Vitreo-Retinal Medical Group, Inc., dba Retinal Consultants Medical Group, Inc.","06/05/2013","08/02/2013"
"US Airways","","08/02/2013"
"Health Net, Inc.","04/01/2013, 05/31/2013","08/01/2013"
"South Central Los Angeles Regional Center","07/06/2013","07/31/2013"
"Fidelity Investments (on behalf of Oracle Corporation)","07/10/2013","07/31/2013"
"California Correctional Health Care Services","06/19/2013","07/30/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","02/01/2013","07/19/2013"
"San Jose Medical Supply Company","08/01/2011, 12/31/2011","07/18/2013"
"OnCore Manufacturing Services","07/05/2013","07/16/2013"
"Sonoma Valley Hospital","02/14/2013","07/10/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","07/08/2013"
"Roy's Holdings, Inc.","01/28/2013","07/08/2013"
"Bureau of Automotive Repair","","07/03/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","07/03/2013"
"Quayside Publishing Group","04/29/2013","07/02/2013"
"Millimaki Eggert, LLP","04/27/2013","06/27/2013"
"Citi Prepaid Services","06/02/2013","06/27/2013"
"Foundations Recovery Network","06/15/2013","06/24/2013"
"Yolo Federal Credit Union","03/29/2013, 05/28/2013","06/13/2013"
"Sutter Health East Bay Region (Alta Bates Summit Medical Center; Sutter Delta Medical Center; Eden Medical Center)","","06/06/2013"
"SynerMed Inc","04/15/2013","06/06/2013"
"ADP","","06/05/2013"
"Massachusetts Mutual Life Insurance Company","05/08/2013","06/04/2013"
"Rentpath, Inc., formerly knwon as Primedia, Inc.","06/20/2012","05/31/2013"
"Anasazi Hotel LLC","06/18/2012","05/30/2013"
"TJG, Inc. d/b/a Target Marketing","05/14/2013","05/29/2013"
"Shumsky Promotional Agency","05/14/2013","05/29/2013"
"Beachbody, LLC","03/01/2013, 04/01/2013","05/28/2013"
"Godiva Chocolatier, Inc. ","","05/28/2013"
"California Department of State Hospitals","05/08/2013","05/24/2013"
"Discover Financial Services","","05/24/2013"
"Discover Financial Services","","05/24/2013"
"Vendini, Inc.","03/29/2013","05/24/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","04/06/2011","05/15/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","06/03/2012","05/13/2013"
"PHH Corporation","","05/10/2013"
"California Department of Public Health","","05/08/2013"
"Equity Trust Company","","05/08/2013"
"Tomren Wealth Management","03/06/2013","05/07/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","04/09/2013","05/02/2013"
"LivingSocial, Inc.","04/05/2013","04/26/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","12/21/2012","04/25/2013"
"WestCoast Children's Clinic","04/16/2013","04/24/2013"
"OneWest Bank, FSB","01/01/2011, 03/31/2011","04/23/2013"
"Stanley Black & Decker, Inc.","01/28/2013","04/16/2013"
"Chapman University","02/27/2013","04/11/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","01/17/2013","04/04/2013"
"Computer Sciences Corporation","","04/03/2013"
"Ellison Systems, Inc. d.b.a Shoplet.com","12/20/2012","04/02/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","10/16/2012","04/01/2013"
"Citi","","03/28/2013"
"Rollins, Inc.","03/04/2013","03/27/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","12/19/2012","03/26/2013"
"The Finish Line, Inc.","01/11/2013","03/26/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","03/25/2013"
"TLO, LLC","08/20/2012, 01/15/2013","03/22/2013"
"OCS America, Inc.","03/04/2013","03/22/2013"
"United Shore Financial Services, LLC","12/02/2012","03/19/2013"
"Massachusetts Mutual Life Insurance Company","01/30/2013","03/06/2013"
"The Prudential Insurance Company of America","12/13/2012","03/04/2013"
"TD Bank, N.A.","","03/04/2013"
"Fabric Depot, Inc.","10/16/2012","03/01/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","03/01/2013"
"First National Bank of Southern California","02/01/2013","02/28/2013"
"Mercedes-Benz of Walnut Creek","02/08/2013","02/25/2013"
"Crescent Health Inc. - A Walgreen Company","12/28/2012","02/22/2013"
"American Express Travel Related Services Company, Inc and/or its Affiliates (“AXP”)","08/24/2012","02/19/2013"
"Crafts Americana Group","12/21/2012","02/11/2013"
"Talk Fusion","10/18/2012, 10/19/2012","02/08/2013"
"Schneider-Electric","01/17/2013","02/07/2013"
"Thorlo","11/14/2012","02/07/2013"
"American Express Travel Related Services Company Inc and / or its Affiliates (""AXP"")","12/30/2011","02/05/2013"
"ANTIOCH UNIFIED SCHOOL DISTRICT","01/18/2013","02/01/2013"
"Stethoscope.com LLC","12/03/2012","01/29/2013"
"North Los Angeles County Regional Center","11/10/2012","01/29/2013"
"RR Donnelley","","01/28/2013"
"Wilton Brands LLC","10/08/2012","01/24/2013"
"NECA/IBEW Family Medical Care Plan","12/28/2012","01/22/2013"
"Stanford School of Medicine & Lucile Packard Children's Hospital","01/09/2013","01/18/2013"
"Discover Financial Services","","01/18/2013"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","09/01/2012","01/11/2013"
"Calvin Schuster, M.D.","11/04/2012","01/07/2013"
"Centric Group LLC","08/01/2010","01/07/2013"
"Reyes Beverage Group","11/09/2012","01/04/2013"
"Rosenthal Collins Group, LLC","11/27/2012","01/02/2013"
"Sunview Vineyards of California, Inc.","12/15/2012","12/31/2012"
"East San Gabriel Valley Regional Occupational Program","12/11/2012","12/28/2012"
"Calif. Department of Health Care Services","12/10/2012, 12/18/2012","12/24/2012"
"Upper Skagit Indian Tribe","10/26/2012","12/21/2012"
"Jetro/Restaurant Depot","11/07/2012, 12/05/2012","12/20/2012"
"Western University of Health Sciences","11/14/2012","12/18/2012"
"World Travel Holdings","","12/17/2012"
"Library Systems & Services, LLC","10/31/2012","12/17/2012"
"Yolo Federal Credit Union","10/27/2012, 10/28/2012, 10/29/2012, 10/30/2012, 10/31/2012, 11/01/2012, 11/02/2012, 11/03/2012, 11/04/2012, 11/05/2012, 11/06/2012, 11/07/2012","12/13/2012"
